Small burner (W)	Large burner(W)	Bake(W)	Broil(W)
1298	2	32	0
1298	2	32	0
1288	2	32	0
1288	2	32	0
1288	2	32	0
1288	2	32	0
1288	2	32	0
1286	2	32	0
1286	2	32	0
1286	2	32	0
1286	2	32	0
1286	2	32	0
1288	2	32	0
1288	2	32	0
1288	2	32	0
1288	2	32	0
1288	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
1300	2	32	0
1300	2	32	0
1300	4	32	0
1300	4	32	0
1300	888	32	0
368	888	32	0
368	1374	32	0
368	1374	32	0
368	1374	32	0
890	1374	32	0
890	1374	32	0
1294	1374	32	0
1294	2	32	0
1294	2	32	0
1294	2	32	0
1294	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
1298	2	32	0
1298	2	32	0
1298	2	32	0
1298	2	32	0
1298	2	32	0
620	2	32	0
620	2	32	0
620	2	32	0
620	2	32	0
718	2	32	0
718	2	32	0
1292	2	32	0
1292	2	32	0
1292	2	32	0
1292	2	32	0
1292	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
1298	2	32	0
1298	22	32	0
1298	22	32	0
1298	22	32	0
1298	2078	32	0
2	2076	32	0
2	2076	32	0
2	2076	32	0
478	2076	32	0
478	2076	32	0
1292	2	32	0
1292	2	32	0
1292	2	32	0
1292	2	32	0
1292	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	300	32	0
2	300	32	0
2	1428	32	0
2	1428	32	0
2	1428	32	0
2	1428	32	0
2	1428	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
0	2	32	0
0	2	32	0
0	2	32	0
0	2	32	0
0	2	952	0
0	2	952	0
0	2	3280	0
0	2	3280	0
0	2	3280	0
0	2	3280	0
0	2	2812	0
0	2	2812	0
0	2	2812	0
0	2	2812	0
0	2	2812	0
0	2	2798	0
